Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"Hong Kong, Hong Kong - Melbourne, Australia",MEL,HKG,-37.7,144.85,22.32,113.94,7417.654695297195
"Bangalore, India - Newark, United States Of America",EWR,BLR,50.1,8.56,12.8,77.65,7435.232576793437
"Mexico City, Mexico - Sao Paulo, Brazil",MEX,GRU,19.4,-99.16,-23.42,-46.48,7438.6952268603245
"Mexico City, Mexico - Sao Paulo, Brazil",MEX,GRU,19.4,-99.16,-23.42,-46.48,7438.6952268603245
"Mexico City, Mexico - Sao Paulo, Brazil",GRU,MEX,-23.4,-46.48,19.43,-99.16,7439.438444091347
"Johannesburg, South Africa - Sao Paulo, Brazil",GRU,JNB,-23.4,-46.48,-26.13,28.23,7442.30148209591
"Johannesburg, South Africa - Sao Paulo, Brazil",JNB,GRU,-26.1,28.23,-23.42,-46.48,7442.459821031294
"Cape Town, South Africa - Doha, Qatar",DOH,CPT,25.3,51.56,-33.97,18.59,7455.765969637549
"Brasilia, Brazil - Newark, United States Of America",EWR,BSB,42.9,-83.53,-15.86,-47.91,7479.722140918287
"Moscow, Russia - New York, United States Of America",SVO,JFK,56.0,37.42,40.64,-73.79,7482.077190949219
"Moscow, Russia - New York, United States Of America",JFK,SVO,40.6,-73.79,55.96,37.42,7488.601442448001
"Calgary, Canada - Tokyo, Japan",YYC,NRT,49.2,-123.17,35.75,140.39,7507.248743397657
"Calgary, Canada - Tokyo, Japan",YYC,NRT,49.2,-123.17,35.75,140.39,7507.248743397657
"Dar Es Salaam, United Rep. Of Tanzania - London, United Kingdom",LHR,DAR,51.5,-0.45,-6.88,39.2,7511.975392191101
"Kiev-borispol, Ukraine - New York, United States Of America",JFK,KBP,40.6,-73.79,50.43,30.55,7513.735834775037
"Denver, United States Of America - Newcastle, United Kingdom",NCL,DEN,51.5,-0.45,39.77,-104.86,7515.71253670726
"Denver, United States Of America - London, United Kingdom",LHR,DEN,51.5,-0.45,39.77,-104.86,7515.71253670726
"Denver, United States Of America - London, United Kingdom",LHR,DEN,51.5,-0.45,39.77,-104.86,7515.71253670726
"Calgary, Canada - Frankfurt, Germany",FRA,YYC,50.1,8.56,51.13,-114.01,7522.43960291457
"Calgary, Canada - Frankfurt, Germany",YYC,FRA,51.1,-114.01,50.05,8.56,7529.708594821223
"London, United Kingdom - Vancouver, Canada",LHR,YVR,51.5,-0.45,49.19,-123.17,7578.602550319817
"Frankfurt, Germany - Madras, India",FRA,MAA,50.1,8.56,13.05,80.23,7597.002288699592
"Madras, India - Newark, United States Of America",EWR,MAA,50.1,8.56,13.05,80.23,7597.002288699592
